DEPT,GR,LLD,LLS,DTC,DTS,NPHI,RHOB,DCALI_FINAL,WELL
6268.5,112.74,822.33,1387.96,51.29222209,89.04593992,0.01,2.79,0.12,Well 8
4355.4396,147.0252,50000,299.9466,52.8470892,,0.05455,2.64812,0.0066,Well 10
3721.8,76.6,1321.67,75.78,,,,,,Well 7
4995.9768,86.37827,1275.224,32.4863,52.4437576,93.14331207,0.11938,2.61327,0.0375,Well 10
3922.35,88.63,133.43,50.47,,,,,,Well 7
4434.45,101.64,139.29,1.15,,,,,,Well 6
6991.2,117.31,700.49,92.8,52.81579289,92.08318921,0.04,2.65,0.15,Well 8
3632.1,104.8023,205.9678,14093.838,53.0643,,6.0394,2.704,0.2533,Well 4
3803.55,47.19,330.12,6.47,,,,,,Well 9
4345.5,112.05,1294.73,723.45,,,,,,Well 6
3724.95,101.41,25386.66,127120.6,58.08691,97.07034514,0.07,2.64,0.26,Well 11
4966.95,54.81,170.35,17.47,63.36060787,113.1017131,0.19,2.46,0.71,Well 8
3736.2384,88.99732971,1724.011353,42.79473114,51.66403198,91.72498322,0.119999997,2.6225667,0.303099781,Well 5
4925.1,104.71,268.34,76.87,,,,,,Well 6
3957.218,164.3,914.495,151.056,52.892,96.829,0.041,2.356,-1.93,Well 3
3574.3896,75.3292,180.532,71.7766,58.64755,107.59987,0.2278,2.3408,2.8582,Well 1
